train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean
105102114816.0,9899,0.0003,19.480175018310547,18240062.0,-150.5639190673828,3850.0,10000,-14925446047.657055,,,,,
39207419904.0,17601,0.0003,196.31402587890625,35259172.0,-267.7693176269531,,17702,,-2454160967.0079503,4,184,95,4425.5
653707051008.0,19899,0.0003,391.105712890625,36808272.0,-303.42169189453125,3850.0,20000,-14925399867.032196,,,,,
1410993356800.0,29899,0.0003,7856.81982421875,51673928.0,-454.99285888671875,3849.8,30000,-14922967335.78626,,,,,
218521174016.0,37601,0.0003,79317.5546875,111189768.0,-571.860107421875,,37702,,-2481940041.707736,8,398,94,4712.75
2424914313216.0,39899,0.0003,158123.609375,161646240.0,-606.0552978515625,3849.6,40000,-14919338329.082617,,,,,
1145411674832896.0,49899,0.0003,3182555.75,2436086784.0,-760.0690307617188,3849.8,50000,-14922325828.408514,,,,,
7.159606716022129e+17,57601,0.0003,32031870.0,20862011392.0,-875.7092895507812,,57702,,-2491232101.751412,12,612,94,4808.5
4.347557212034433e+18,59899,0.0003,63744056.0,35412942848.0,-910.6824951171875,3850.0,60000,-14925416230.167822,,,,,
4.3178877857613627e+21,69899,0.0003,1273358592.0,515502178304.0,-1062.40771484375,3850.0,70000,-14926749957.967503,,,,,
6.993373968821643e+23,77601,0.0003,12782162944.0,1673322561536.0,-1178.6064453125,,77702,,-2495893684.8679085,16,827,93,4856.375
2.3159270371537377e+24,79899,0.0003,25436760064.0,2465215021056.0,-1213.09228515625,3849.6,80000,-14919337456.70641,,,,,
7.381964178924393e+26,89899,0.0003,508127707136.0,28389090000896.0,-1366.430908203125,3849.8,90000,-14922321574.347723,,,,,
7.37858476492488e+28,97601,0.0003,5100661112832.0,275148825427968.0,-1483.818115234375,,97702,,-2498673996.4592013,20,1042,93,4885.1
2.907795839564369e+29,99899,0.0003,10150418055168.0,545702807601152.0,-1516.85400390625,3849.4,100000,-14916160341.83974,,,,,
1.1749290847138856e+32,109899,0.0003,203987827556352.0,1.094348003344384e+16,-1668.632080078125,3850.0,110000,-14925410519.648495,,,,,
1.2201430418986019e+34,117601,0.0003,2077963025645568.0,1.116941721754665e+17,-1790.002197265625,,117702,,-2500525318.8519883,24,1256,93,4904.25
4.858977046373098e+34,119899,0.0003,4153352560574464.0,2.228966736747561e+17,-1822.099853515625,3850.0,120000,-14925398365.913946,,,,,
inf,129899,0.0003,8.456552664635802e+16,4.546420932347953e+18,-1978.518798828125,3849.8,130000,-14922372051.35498,,,,,
inf,137601,0.0003,8.614437208624988e+17,4.623720393095722e+19,-2092.707275390625,,137702,,-2501859850.2347674,28,1470,93,4917.928571428572
inf,139899,0.0003,1.721820640568148e+18,9.236799272853176e+19,-2126.601806640625,3849.6,140000,-14919526830.312494,,,,,
inf,149899,0.0003,3.5057624786428494e+19,1.885000623596849e+21,-2284.767578125,3849.8,150000,-14922333240.276367,,,,,
inf,157601,0.0003,3.5712151743913316e+20,1.9157105850133955e+22,-2396.664794921875,,157702,,-2502846869.7914953,32,1685,93,4928.1875
inf,159899,0.0003,7.138007673211097e+20,3.83816891334848e+22,-2437.871826171875,3850.0,160000,-14925421943.097174,,,,,
inf,169899,0.0003,1.4533546091289004e+22,7.787738326647642e+23,-2581.36865234375,3849.8,170000,-14922360384.91016,,,,,
inf,177601,0.0003,1.4804889319917965e+23,7.935537963621845e+24,-2699.644775390625,,177702,,-2503619528.099436,36,1900,93,4936.166666666667
inf,179899,0.0003,2.959144178359313e+23,1.5846546369311674e+25,-2732.00244140625,3850.0,180000,-14925439933.57692,,,,,
